
[STANDBY-SENTRY] 16:18:59 | Intent: ACTIVE | Load Delta: 0.05
[STANDBY-SENTRY] 16:19:59 | Intent: ACTIVE | Load Delta: 0.07
[STANDBY-SENTRY] 16:20:59 | Intent: ACTIVE | Load Delta: 0.02
[STANDBY-SENTRY] 16:21:59 | Intent: ACTIVE | Load Delta: 0.14
[STANDBY-SENTRY] 16:22:59 | Intent: ACTIVE | Load Delta: 0.09
[STANDBY-SENTRY] 16:23:59 | Intent: ACTIVE | Load Delta: 0.03
[STANDBY-SENTRY] 16:24:59 | Intent: ACTIVE | Load Delta: 0.01
[STANDBY-SENTRY] 16:25:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 16:26:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 16:27:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 16:28:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 16:29:59 | Intent: ACTIVE | Load Delta: 3.10
[STANDBY-SENTRY] 16:30:59 | Intent: ACTIVE | Load Delta: 1.13
[STANDBY-SENTRY] 16:31:59 | Intent: ACTIVE | Load Delta: 0.41
[STANDBY-SENTRY] 16:32:59 | Intent: ACTIVE | Load Delta: 0.15
[STANDBY-SENTRY] 16:33:59 | Intent: ACTIVE | Load Delta: 0.05
[STANDBY-SENTRY] 16:34:59 | Intent: ACTIVE | Load Delta: 0.02
[STANDBY-SENTRY] 16:35:59 | Intent: ACTIVE | Load Delta: 0.06
[STANDBY-SENTRY] 16:36:59 | Intent: ACTIVE | Load Delta: 0.07
[STANDBY-SENTRY] 16:37:59 | Intent: ACTIVE | Load Delta: 0.09
[STANDBY-SENTRY] 16:38:59 | Intent: ACTIVE | Load Delta: 0.14
[STANDBY-SENTRY] 16:39:59 | Intent: ACTIVE | Load Delta: 0.09
[STANDBY-SENTRY] 16:40:59 | Intent: ACTIVE | Load Delta: 0.03
[STANDBY-SENTRY] 16:41:59 | Intent: ACTIVE | Load Delta: 0.01
[STANDBY-SENTRY] 16:42:59 | Intent: ACTIVE | Load Delta: 0.08
[STANDBY-SENTRY] 16:43:59 | Intent: ACTIVE | Load Delta: 0.03
[STANDBY-SENTRY] 16:44:59 | Intent: ACTIVE | Load Delta: 0.01
[STANDBY-SENTRY] 16:45:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 16:46:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 16:47:59 | Intent: ACTIVE | Load Delta: 0.00
[STANDBY-SENTRY] 16:48:59 | Intent: ACTIVE | Load Delta: 0.00
